image_id,image_path,mask_path,dataset,language,condition,word,word_color,font_color,background_color,label,dataset_name,prompt_key,prompt_style,prompt_template,pred_color,clip_score,error_type,is_correct,whitebox_group,whitebox_prompt,whitebox_score,heatmap_path,text_energy_share,background_energy_share,text_area_share,background_area_share,text_enrichment
main_english_stroop_english_incongruent_000677,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/images/main_english_stroop_english_incongruent_000677.png,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/masks/main_english_stroop_english_incongruent_000677_mask.png,stroop,english,incongruent,GREEN,green,purple,white,purple,main_english_stroop,exact_ink_color,exact,the ink color of the text is {color},green,0.267578125,word_bias,False,incongruent_word_bias,the ink color of the text is green,0.267578125,/content/stroop_multilingual_full_benchmark/results/experiment_6_clip_whitebox_heatmaps/decision_000_incongruent_word_bias_word-GREEN_font-purple_pred-green.png,0.08310118317604065,0.9168989062309265,0.12248883928571429,0.8775111607142857,0.6784387612475729
main_english_stroop_english_incongruent_007038,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/images/main_english_stroop_english_incongruent_007038.png,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/masks/main_english_stroop_english_incongruent_007038_mask.png,stroop,english,incongruent,YELLOW,yellow,green,white,green,main_english_stroop,exact_ink_color,exact,the ink color of the text is {color},yellow,0.279052734375,word_bias,False,incongruent_word_bias,the ink color of the text is yellow,0.279052734375,/content/stroop_multilingual_full_benchmark/results/experiment_6_clip_whitebox_heatmaps/decision_001_incongruent_word_bias_word-YELLOW_font-green_pred-yellow.png,0.040594834834337234,0.959405243396759,0.09837372448979592,0.901626275510204,0.41265928395295437
main_english_stroop_english_incongruent_003398,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/images/main_english_stroop_english_incongruent_003398.png,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/masks/main_english_stroop_english_incongruent_003398_mask.png,stroop,english,incongruent,WHITE,white,red,white,red,main_english_stroop,exact_ink_color,exact,the ink color of the text is {color},white,0.256103515625,word_bias,False,incongruent_word_bias,the ink color of the text is white,0.255859375,/content/stroop_multilingual_full_benchmark/results/experiment_6_clip_whitebox_heatmaps/decision_002_incongruent_word_bias_word-WHITE_font-red_pred-white.png,0.17441095411777496,0.825589120388031,0.11499521683673469,0.8850047831632653,1.5166799432936133
main_english_stroop_english_background_conflict_008346,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/images/main_english_stroop_english_background_conflict_008346.png,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/masks/main_english_stroop_english_background_conflict_008346_mask.png,stroop,english,background_conflict,PURPLE,purple,green,white,green,main_english_stroop,exact_ink_color,exact,the ink color of the text is {color},purple,0.2998046875,word_bias,False,background_conflict_word_bias,the ink color of the text is purple,0.2998046875,/content/stroop_multilingual_full_benchmark/results/experiment_6_clip_whitebox_heatmaps/decision_003_background_conflict_word_bias_word-PURPLE_font-green_pred-purple.png,0.0,0.0,0.10120376275510204,0.898796237244898,0.0
main_english_stroop_english_background_conflict_006713,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/images/main_english_stroop_english_background_conflict_006713.png,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/masks/main_english_stroop_english_background_conflict_006713_mask.png,stroop,english,background_conflict,PURPLE,purple,yellow,black,yellow,main_english_stroop,exact_ink_color,exact,the ink color of the text is {color},purple,0.299072265625,word_bias,False,background_conflict_word_bias,the ink color of the text is purple,0.299072265625,/content/stroop_multilingual_full_benchmark/results/experiment_6_clip_whitebox_heatmaps/decision_004_background_conflict_word_bias_word-PURPLE_font-yellow_pred-purple.png,0.070646271109581,0.9293538331985474,0.10120376275510204,0.898796237244898,0.6980596591051441
main_english_stroop_english_background_conflict_006037,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/images/main_english_stroop_english_background_conflict_006037.png,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/masks/main_english_stroop_english_background_conflict_006037_mask.png,stroop,english,background_conflict,PURPLE,purple,brown,green,brown,main_english_stroop,exact_ink_color,exact,the ink color of the text is {color},purple,0.310791015625,word_bias,False,background_conflict_word_bias,the ink color of the text is purple,0.310791015625,/content/stroop_multilingual_full_benchmark/results/experiment_6_clip_whitebox_heatmaps/decision_005_background_conflict_word_bias_word-PURPLE_font-brown_pred-purple.png,0.6769513487815857,0.32304859161376953,0.10120376275510204,0.898796237244898,6.688993209963689
main_english_stroop_english_neutral_009982,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/images/main_english_stroop_english_neutral_009982.png,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/masks/main_english_stroop_english_neutral_009982_mask.png,stroop,english,neutral,SHIP,,brown,white,brown,main_english_stroop,exact_ink_color,exact,the ink color of the text is {color},brown,0.25048828125,correct_font_color,True,neutral_correct,the ink color of the text is brown,0.25048828125,/content/stroop_multilingual_full_benchmark/results/experiment_6_clip_whitebox_heatmaps/decision_006_neutral_correct_word-SHIP_font-brown_pred-brown.png,0.09676744788885117,0.9032325744628906,0.09903140943877552,0.9009685905612245,0.9771388559029591
main_english_stroop_english_neutral_003698,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/images/main_english_stroop_english_neutral_003698.png,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/masks/main_english_stroop_english_neutral_003698_mask.png,stroop,english,neutral,HOUSE,,gray,white,gray,main_english_stroop,exact_ink_color,exact,the ink color of the text is {color},gray,0.2379150390625,correct_font_color,True,neutral_correct,the ink color of the text is gray,0.2379150390625,/content/stroop_multilingual_full_benchmark/results/experiment_6_clip_whitebox_heatmaps/decision_007_neutral_correct_word-HOUSE_font-gray_pred-gray.png,0.0,0.0,0.11521444515306123,0.8847855548469388,0.0
main_english_stroop_english_neutral_008195,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/images/main_english_stroop_english_neutral_008195.png,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/masks/main_english_stroop_english_neutral_008195_mask.png,stroop,english,neutral,CHAIR,,green,white,green,main_english_stroop,exact_ink_color,exact,the ink color of the text is {color},green,0.246337890625,correct_font_color,True,neutral_correct,the ink color of the text is green,0.2462158203125,/content/stroop_multilingual_full_benchmark/results/experiment_6_clip_whitebox_heatmaps/decision_008_neutral_correct_word-CHAIR_font-green_pred-green.png,0.12392047047615051,0.8760794997215271,0.11379942602040816,0.8862005739795918,1.088937474645545
main_english_stroop_english_congruent_006252,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/images/main_english_stroop_english_congruent_006252.png,/content/stroop_multilingual_full_benchmark/data/main_english_stroop_40k/masks/main_english_stroop_english_congruent_006252_mask.png,stroop,english,congruent,BLUE,blue,blue,white,blue,main_english_stroop,exact_ink_color,exact,the ink color of the text is {color},blue,0.2705078125,correct_font_color,True,congruent_correct,the ink color of the text is blue,0.2705078125,/content/stroop_multilingual_full_benchmark/results/experiment_6_clip_whitebox_heatmaps/decision_009_congruent_correct_word-BLUE_font-blue_pred-blue.png,0.05534158647060394,0.9446582794189453,0.10467155612244898,0.8953284438775511,0.5287165227456628
