image_id,image_path,mask_path,dataset,script,condition,word,word_color,font_color,background_color,label,prompt_key,prompt_template,pred_color,pred_score,is_correct,error_type,whitebox_group,whitebox_prompt,whitebox_score,heatmap_path,text_energy_share,background_energy_share,text_area_share,background_area_share,text_enrichment,background_enrichment
incongruent_02647,/content/stroop_expanded_vlm/main_stroop_20k/images/incongruent_02647.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/incongruent_02647_mask.png,main_stroop_20k,english,incongruent,RED,red,yellow,black,yellow,ink_color,the ink color of the text is {},red,0.279296875,False,word_bias,incongruent_word_bias,the ink color of the text is red,0.279541015625,/content/stroop_expanded_vlm/results/whitebox_heatmaps/000_incongruent_word_bias_word-RED_font-yellow_pred-red.png,0.04338596388697624,0.956614077091217,0.06088568239795918,0.9391143176020408,0.7125806109487635,1.0186343121117751
incongruent_02105,/content/stroop_expanded_vlm/main_stroop_20k/images/incongruent_02105.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/incongruent_02105_mask.png,main_stroop_20k,english,incongruent,ORANGE,orange,purple,white,purple,ink_color,the ink color of the text is {},orange,0.30126953125,False,word_bias,incongruent_word_bias,the ink color of the text is orange,0.30126953125,/content/stroop_expanded_vlm/results/whitebox_heatmaps/001_incongruent_word_bias_word-ORANGE_font-purple_pred-orange.png,0.07138139009475708,0.9286186695098877,0.0791812818877551,0.9208187181122449,0.9014931228445362,1.0084706589467758
incongruent_01063,/content/stroop_expanded_vlm/main_stroop_20k/images/incongruent_01063.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/incongruent_01063_mask.png,main_stroop_20k,english,incongruent,BLUE,blue,orange,black,orange,ink_color,the ink color of the text is {},blue,0.2763671875,False,word_bias,incongruent_word_bias,the ink color of the text is blue,0.276123046875,/content/stroop_expanded_vlm/results/whitebox_heatmaps/002_incongruent_word_bias_word-BLUE_font-orange_pred-blue.png,0.05262608081102371,0.9473738670349121,0.05353156887755102,0.9464684311224489,0.9830847868582663,1.0009566361361075
background_conflict_03774,/content/stroop_expanded_vlm/main_stroop_20k/images/background_conflict_03774.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/background_conflict_03774_mask.png,main_stroop_20k,english,background_conflict,BLACK,black,gray,yellow,gray,ink_color,the ink color of the text is {},black,0.26123046875,False,word_bias,background_conflict_word_bias,the ink color of the text is black,0.26123046875,/content/stroop_expanded_vlm/results/whitebox_heatmaps/003_background_conflict_word_bias_word-BLACK_font-gray_pred-black.png,0.3833894729614258,0.6166105270385742,0.04693478954081633,0.9530652104591837,8.168554605799805,0.6469762129621027
background_conflict_04339,/content/stroop_expanded_vlm/main_stroop_20k/images/background_conflict_04339.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/background_conflict_04339_mask.png,main_stroop_20k,english,background_conflict,ORANGE,orange,blue,yellow,blue,ink_color,the ink color of the text is {},orange,0.29931640625,False,word_bias,background_conflict_word_bias,the ink color of the text is orange,0.29931640625,/content/stroop_expanded_vlm/results/whitebox_heatmaps/004_background_conflict_word_bias_word-ORANGE_font-blue_pred-orange.png,0.4478539526462555,0.5521460175514221,0.09943000637755102,0.9005699936224489,4.5042128017527965,0.6131072713175792
background_conflict_04605,/content/stroop_expanded_vlm/main_stroop_20k/images/background_conflict_04605.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/background_conflict_04605_mask.png,main_stroop_20k,english,background_conflict,GREEN,green,blue,black,blue,ink_color,the ink color of the text is {},green,0.26708984375,False,word_bias,background_conflict_word_bias,the ink color of the text is green,0.26708984375,/content/stroop_expanded_vlm/results/whitebox_heatmaps/005_background_conflict_word_bias_word-GREEN_font-blue_pred-green.png,0.07932793349027634,0.9206721186637878,0.06796077806122448,0.9320392219387755,1.167260353408666,0.9878040399100556
neutral_01879,/content/stroop_expanded_vlm/main_stroop_20k/images/neutral_01879.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/neutral_01879_mask.png,main_stroop_20k,english,neutral,MUSIC,,blue,white,blue,ink_color,the ink color of the text is {},blue,0.2244873046875,True,correct_font_color,neutral_correct,the ink color of the text is blue,0.2242431640625,/content/stroop_expanded_vlm/results/whitebox_heatmaps/006_neutral_correct_word-MUSIC_font-blue_pred-blue.png,0.06286465376615524,0.9371353387832642,0.08557876275510204,0.914421237244898,0.7345823238906798,1.0248398553804414
neutral_02634,/content/stroop_expanded_vlm/main_stroop_20k/images/neutral_02634.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/neutral_02634_mask.png,main_stroop_20k,english,neutral,CAT,,purple,white,purple,ink_color,the ink color of the text is {},purple,0.254150390625,True,correct_font_color,neutral_correct,the ink color of the text is purple,0.254150390625,/content/stroop_expanded_vlm/results/whitebox_heatmaps/007_neutral_correct_word-CAT_font-purple_pred-purple.png,0.016920924186706543,0.9830790758132935,0.02463329081632653,0.9753667091836735,0.6869125787434724,1.007907135314269
neutral_02160,/content/stroop_expanded_vlm/main_stroop_20k/images/neutral_02160.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/neutral_02160_mask.png,main_stroop_20k,english,neutral,BOOK,,purple,white,purple,ink_color,the ink color of the text is {},purple,0.244384765625,True,correct_font_color,neutral_correct,the ink color of the text is purple,0.2442626953125,/content/stroop_expanded_vlm/results/whitebox_heatmaps/008_neutral_correct_word-BOOK_font-purple_pred-purple.png,0.0719863772392273,0.9280136227607727,0.08099489795918367,0.9190051020408163,0.8887765793314303,1.0098024598578688
congruent_01501,/content/stroop_expanded_vlm/main_stroop_20k/images/congruent_01501.png,/content/stroop_expanded_vlm/main_stroop_20k/masks/congruent_01501_mask.png,main_stroop_20k,english,congruent,YELLOW,yellow,yellow,black,yellow,ink_color,the ink color of the text is {},yellow,0.28759765625,True,correct_font_color,congruent_correct,the ink color of the text is yellow,0.28759765625,/content/stroop_expanded_vlm/results/whitebox_heatmaps/009_congruent_correct_word-YELLOW_font-yellow_pred-yellow.png,0.09678205847740173,0.9032178521156311,0.05552455357142857,0.9444754464285714,1.7430494226739524,0.9563169121737145
